artist,title,attachment_style
Beyoncé,Irreplaceable,Avoidant
Chris Brown,Say Goodbye,Avoidant
N'Sync,Bye Bye Bye,Avoidant
Michael Jackson,Billie Jean,Avoidant
TLC,Scrubs,Avoidant
Rihanna,Take a Bow,Avoidant
The Weeknd,Heartless,Avoidant
Adele,Someone Like You,Anxious
The Police,Every Breath You Take,Anxious
Miley Cyrus,Wrecking Ball,Anxious
Adele,Hello,Anxious
U2,One,Anxious
Seether,Broken,Anxious
No Doubt,Don't Speak,Anxious
Bruno Mars,When I Was Your Man,Anxious
Drake,Hotline Bling,Anxious
Sonny & Cher,I Got You Babe,Secure
Whitney Houston,I Will Always Love You,Secure
The Beatles,Love Me Do,Secure
Ed Sheeran,Thinking Out Loud,Secure
Plain White Ts,I Love You,Secure
John Legend,All of Me,Secure
Michael Bublé,Haven't Met You Yet,Secure
Beach Boys,Wouldn't It Be Nice,Secure
Bryan Adams,(Everything I Do) I Do It for You,Secure
Etta James,At Last,Secure
Justin Bieber,Holy,Secure
Carrie Underwood,Before He Cheats,disorganized
Gotye,Somebody That I Used to Know,disorganized
Taylor Swift,Bad Blood,disorganized
Sam Smith,I'm Not the Only One,disorganized
Ne Yo,So Sick,disorganized
Bonnie Raitt,I Can't Make You Love Me,disorganized
Adele,Rolling in the Deep,disorganized
Rihanna ft. Drake,Work,disorganized
Eminem ft. Rihanna,Love the Way You Lie,disorganized
